gml_id;spatial_na;BEZIRK;OTEIL;FLAECHE;FLAECHE_HA;CAPACITY;CAP_PER_HA
re_ortsteil.0401;401;Charlottenburg-Wilmersdorf;Charlottenburg;105.967.067;1059,67067;4120;3,89
re_ortsteil.0407;407;Charlottenburg-Wilmersdorf;Halensee;12.668.808;126,68808;398;3,14
re_ortsteil.0402;402;Charlottenburg-Wilmersdorf;Wilmersdorf;71.610.409;716,10409;1648;2,30
re_ortsteil.0405;405;Charlottenburg-Wilmersdorf;Westend;135.272.542;1352,72542;350;0,26
re_ortsteil.0403;403;Charlottenburg-Wilmersdorf;Schmargendorf;35.880.936;358,80936;64;0,18
re_ortsteil.0406;406;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;61.994.865;619,94865;68;0,11
re_ortsteil.0404;404;Charlottenburg-Wilmersdorf;Grunewald;223.542.956;2235,42956;14;0,01
re_ortsteil.0201;201;Friedrichshain-Kreuzberg;Friedrichshain;99.499.044;994,99044;3778;3,80
re_ortsteil.0202;202;Friedrichshain-Kreuzberg;Kreuzberg;104.501.507;1045,01507;2898;2,77
re_ortsteil.1112;1112;Lichtenberg;Rummelsburg;4.407.673;44,07673;512;11,62
re_ortsteil.1109;1109;Lichtenberg;Neu-Hohenschönhausen;5.153.738;51,53738;126;2,44
re_ortsteil.1103;1103;Lichtenberg;Lichtenberg;72.029.288;720,29288;460;0,64
re_ortsteil.1102;1102;Lichtenberg;Karlshorst;65.491.389;654,91389;232;0,35
re_ortsteil.1101;1101;Lichtenberg;Friedrichsfelde;58.373.278;583,73278;196;0,34
re_ortsteil.1111;1111;Lichtenberg;Fennpfuhl;21.226.072;212,26072;68;0,32
re_ortsteil.1110;1110;Lichtenberg;Alt-Hohenschönhausen;93.527.307;935,27307;264;0,28
re_ortsteil.1107;1107;Lichtenberg;Wartenberg;69.235.125;692,35125;42;0,06
re_ortsteil.1104;1104;Lichtenberg;Falkenberg;30.530.931;305,30931;6;0,02
re_ortsteil.1106;1106;Lichtenberg;Malchow;15.179.474;151,79474;0;0,00
re_ortsteil.1003;1003;Marzahn-Hellersdorf;Kaulsdorf;8.688.218;86,88218;138;1,59
re_ortsteil.1005;1005;Marzahn-Hellersdorf;Hellersdorf;81.470.899;814,70899;1150;1,41
re_ortsteil.1002;1002;Marzahn-Hellersdorf;Biesdorf;124.425.433;1244,25433;424;0,34
re_ortsteil.1001;1001;Marzahn-Hellersdorf;Marzahn;195.515.759;1955,15759;466;0,24
re_ortsteil.1004;1004;Marzahn-Hellersdorf;Mahlsdorf;129.892.133;1298,92133;204;0,16
re_ortsteil.0101;101;Mitte;Mitte;106.794.748;1067,94748;7144;6,69
re_ortsteil.0104;104;Mitte;Tiergarten;51.803.798;518,03798;1584;3,06
re_ortsteil.0102;102;Mitte;Moabit;77.093.752;770,93752;1270;1,65
re_ortsteil.0105;105;Mitte;Wedding;92.453.432;924,53432;842;0,91
re_ortsteil.0106;106;Mitte;Gesundbrunnen;60.564.645;605,64645;526;0,87
re_ortsteil.0103;103;Mitte;Hansaviertel;5.283.012;52,83012;24;0,45
re_ortsteil.0801;801;Neukölln;Neukölln;117.026.725;1170,26725;2298;1,96
re_ortsteil.0805;805;Neukölln;Gropiusstadt;26.692.912;266,92912;184;0,69
re_ortsteil.0804;804;Neukölln;Rudow;118.183.066;1181,83066;686;0,58
re_ortsteil.0802;802;Neukölln;Britz;123.930.813;1239,30813;398;0,32
re_ortsteil.0803;803;Neukölln;Buckow;63.489.937;634,89937;50;0,08
re_ortsteil.0301;301;Pankow;Prenzlauer Berg;110.796.942;1107,96942;7448;6,72
re_ortsteil.0307;307;Pankow;Pankow;56.554.958;565,54958;580;1,03
re_ortsteil.0313;313;Pankow;Wilhelmsruh;13.603.916;136,03916;50;0,37
re_ortsteil.0302;302;Pankow;Weißensee;79.356.471;793,56471;190;0,24
re_ortsteil.0305;305;Pankow;Karow;66.097.618;660,97618;134;0,20
re_ortsteil.0308;308;Pankow;Blankenfelde;13.271.267;132,71267;24;0,18
re_ortsteil.0311;311;Pankow;Niederschönhausen;64.855.483;648,55483;104;0,16
